x,y,z,Temperature
0.666667,0.466667,0,54.4302
0.733333,0.466667,0,59.7357
0.8,0.466667,0,65.8638
0.866667,0.466667,0,72.8921
0.933333,0.466667,0,80.883
1,0.466667,0,89.8672
0,0.533333,0,36.3122
0.0666667,0.533333,0,36.518
0.133333,0.533333,0,37.1383
0.2,0.533333,0,38.1815
0.266667,0.533333,0,39.662
0.333333,0.533333,0,41.6004
0.4,0.533333,0,44.0237
0.466667,0.533333,0,46.9655
0.533333,0.533333,0,50.4667
0.6,0.533333,0,54.5745
0.666667,0.533333,0,59.3424
0.733333,0.533333,0,64.8274
0.8,0.533333,0,71.0869
0.866667,0.533333,0,78.1717
0.933333,0.533333,0,86.1184
1,0.533333,0,94.9388
0,0.6,0,39.4338
0.0666667,0.6,0,39.6531
0.133333,0.6,0,40.3136
0.2,0.6,0,41.4231
0.266667,0.6,0,42.9948
0.333333,0.6,0,45.0473
0.4,0.6,0,47.6044
0.466667,0.6,0,50.6955
0.533333,0.6,0,54.355
0.6,0.6,0,58.6216
0.666667,0.6,0,63.5373
0.733333,0.6,0,69.1448
0.8,0.6,0,75.4845
0.866667,0.6,0,82.5895
0.933333,0.6,0,90.4799
1,0.6,0,99.1571
0,0.666667,0,42.1168
0.0666667,0.666667,0,42.3469
0.133333,0.666667,0,43.0398
0.2,0.666667,0,44.2025
0.266667,0.666667,0,45.8469
0.333333,0.666667,0,47.9895
0.4,0.666667,0,50.6512
0.466667,0.666667,0,53.8572
0.533333,0.666667,0,57.6362
0.6,0.666667,0,62.0197
0.666667,0.666667,0,67.0404
0.733333,0.666667,0,72.73
0.8,0.666667,0,79.1169
0.866667,0.666667,0,86.2218
0.933333,0.666667,0,94.0547
1,0.666667,0,102.611
0,0.733333,0,44.3395
0.0666667,0.733333,0,44.5781
0.133333,0.733333,0,45.2962
0.2,0.733333,0,46.5003
0.266667,0.733333,0,48.2008
0.333333,0.733333,0,50.4125
0.4,0.733333,0,53.1537
0.466667,0.733333,0,56.4458
0.533333,0.733333,0,60.313
0.6,0.733333,0,64.7807
0.666667,0.733333,0,69.8745
0.733333,0.733333,0,75.6181
0.8,0.733333,0,82.0311
0.866667,0.733333,0,89.1262
0.933333,0.733333,0,96.9065
1,0.733333,0,105.363
0,0.8,0,46.0848
0.0666667,0.8,0,46.3298
0.133333,0.8,0,47.0668
0.2,0.8,0,48.3015
0.266667,0.8,0,50.0436
0.333333,0.8,0,52.3061
0.4,0.8,0,55.1052
0.466667,0.8,0,58.4594
0.533333,0.8,0,62.3892
0.6,0.8,0,66.9156
0.666667,0.8,0,72.0588
0.733333,0.8,0,77.8368
0.8,0.8,0,84.2632
0.866667,0.8,0,91.3453
0.933333,0.8,0,99.0819
1,0.8,0,107.462
0,0.866667,0,47.3402
